date,value,text
2020-01-01,2.457081,Jan 01
2020-01-02,5.096737,Jan 02
2020-01-03,5.083183,Jan 03
2020-01-04,2.91075,Jan 04
2020-01-05,2.379672,Jan 05
2020-01-06,5.338466,Jan 06
2020-01-07,5.539609,Jan 07
2020-01-08,5.708079,Jan 08
2020-01-09,5.603996,Jan 09
2020-01-10,5.546495,Jan 10
2020-01-11,3.201232,Jan 11
2020-01-12,2.412979,Jan 12
2020-01-13,5.345127,Jan 13
2020-01-14,5.565564,Jan 14
2020-01-15,5.681956,Jan 15
2020-01-16,5.757064,Jan 16
2020-01-17,5.686888,Jan 17
2020-01-18,2.675485,Jan 18
2020-01-19,2.329916,Jan 19
2020-01-20,3.23032,Jan 20
2020-01-21,5.394519,Jan 21
2020-01-22,5.572278,Jan 22
2020-01-23,5.615577,Jan 23
2020-01-24,5.489617,Jan 24
2020-01-25,2.710531,Jan 25
2020-01-26,2.415365,Jan 26
2020-01-27,5.347211,Jan 27
2020-01-28,5.742007,Jan 28
2020-01-29,5.758363,Jan 29
2020-01-30,5.75738,Jan 30
2020-01-31,5.519286,Jan 31
2020-02-01,2.956281,Feb 01
2020-02-02,2.298312,Feb 02
2020-02-03,5.475367,Feb 03
2020-02-04,5.700032,Feb 04
2020-02-05,5.784174,Feb 05
2020-02-06,5.840567,Feb 06
2020-02-07,5.586678,Feb 07
2020-02-08,3.024811,Feb 08
2020-02-09,2.339983,Feb 09
2020-02-10,5.426266,Feb 10
2020-02-11,5.66565,Feb 11
2020-02-12,5.696738,Feb 12
2020-02-13,5.750557,Feb 13
2020-02-14,5.58058,Feb 14
2020-02-15,2.877542,Feb 15
2020-02-16,2.398466,Feb 16
2020-02-17,3.216494,Feb 17
2020-02-18,5.244577,Feb 18
2020-02-19,5.456947,Feb 19
2020-02-20,5.415683,Feb 20
2020-02-21,5.240495,Feb 21
2020-02-22,2.998622,Feb 22
2020-02-23,2.355236,Feb 23
2020-02-24,5.442605,Feb 24
2020-02-25,5.658937,Feb 25
2020-02-26,5.695524,Feb 26
2020-02-27,5.795643,Feb 27
2020-02-28,5.563943,Feb 28
2020-02-29,2.934964,Feb 29
2020-03-01,2.276715,Mar 01
2020-03-02,5.370253,Mar 02
2020-03-03,5.591687,Mar 03
2020-03-04,5.594971,Mar 04
2020-03-05,5.623588,Mar 05
2020-03-06,5.322449,Mar 06
2020-03-07,2.848898,Mar 07
2020-03-08,2.081322,Mar 08
2020-03-09,4.949165,Mar 09
2020-03-10,5.035107,Mar 10
2020-03-11,4.880885,Mar 11
2020-03-12,4.36187,Mar 12
2020-03-13,3.646267,Mar 13
2020-03-14,1.770936,Mar 14
2020-03-15,1.222512,Mar 15
2020-03-16,2.271756,Mar 16
2020-03-17,1.853884,Mar 17
2020-03-18,1.676398,Mar 18
2020-03-19,1.506113,Mar 19
2020-03-20,1.343699,Mar 20
2020-03-21,0.663073,Mar 21
2020-03-22,0.436748,Mar 22
2020-03-23,0.806559,Mar 23
2020-03-24,0.8386,Mar 24
2020-03-25,0.71794500000000006,Mar 25
2020-03-26,0.987809,Mar 26
2020-03-27,0.728598,Mar 27
