date,Abandoned_vehicle_2020,Abandoned_vehicle_2019,Blocked_driveway_2020,Blocked_driveway_2019,Consumer_complaint_2020,Consumer_complaint_2019,Derelict_bicycle_2020,Derelict_bicycle_2019,Derelict_vehicles_2020,Derelict_vehicles_2019,For_hire_vehicle_complaint_2020,For_hire_vehicle_complaint_2019,General_2020,General_2019,Illegal_parking_2020,Illegal_parking_2019,Lost_property_2020,Lost_property_2019,Noise_commercial_2020,Noise_commercial_2019,Noise_street_sidewalk_2020,Noise_street_sidewalk_2019,Non_emergency_police_matter_2020,Non_emergency_police_matter_2019,Rodent_2020,Rodent_2019,School_maintenance_2020,School_maintenance_2019,Street_condition_2020,Street_condition_2019,Taxi_complaint_2020,Taxi_complaint_2019,text
2020-01-01,55,NA,422,348,14,30,5,9,30,116,23,20,18,59,422,429,28,NA,135,46,157,42,16,24,35,73,1,5,136,354,29,23,Jan 01
2020-01-02,154,NA,380,383,36,48,6,6,101,141,40,33,34,79,551,487,34,NA,40,65,101,78,26,19,69,85,4,13,210,313,21,29,Jan 02
2020-01-03,149,NA,366,425,37,34,6,8,102,149,23,28,36,92,591,441,28,NA,75,83,77,59,23,28,73,76,2,8,164,350,18,25,Jan 03
2020-01-04,87,NA,387,397,29,20,3,6,81,63,31,20,18,51,486,383,31,NA,131,155,143,128,20,11,47,36,2,1,103,161,29,17,Jan 04
2020-01-05,93,NA,380,404,18,25,1,4,79,58,41,29,17,40,526,457,38,NA,173,201,88,120,15,16,41,59,1,NA,188,209,18,22,Jan 05
2020-01-06,123,NA,361,368,36,55,7,13,98,112,23,15,34,79,538,443,30,NA,92,92,68,44,25,17,74,93,5,6,255,334,29,26,Jan 06
2020-01-07,144,NA,398,383,25,52,7,12,107,130,28,25,47,83,597,480,22,NA,66,62,49,41,17,22,98,80,8,3,334,337,31,26,Jan 07
2020-01-08,153,NA,365,375,35,43,9,4,110,127,31,34,44,94,559,473,34,NA,64,58,48,60,36,21,82,59,6,10,245,314,18,33,Jan 08
2020-01-09,138,NA,367,385,43,51,2,10,103,108,57,58,42,70,571,501,30,NA,53,59,43,50,23,18,56,50,3,4,246,333,27,40,Jan 09
2020-01-10,155,NA,353,333,40,28,0,6,133,103,35,17,39,73,581,392,30,NA,113,60,55,40,27,13,62,53,5,10,208,190,22,33,Jan 10
2020-01-11,108,NA,374,356,21,27,3,4,95,71,51,15,16,55,580,358,29,NA,159,156,255,50,18,15,44,39,3,NA,119,159,20,23,Jan 11
2020-01-12,90,NA,397,395,29,17,6,5,70,48,36,38,19,26,498,397,22,NA,231,265,303,71,29,10,47,44,3,2,96,164,21,25,Jan 12
2020-01-13,163,NA,366,362,33,39,8,8,129,117,61,38,42,105,655,472,25,NA,89,99,104,25,25,15,70,67,1,18,314,260,25,25,Jan 13
2020-01-14,188,NA,350,394,46,49,7,5,154,157,50,50,42,111,595,486,23,NA,70,69,85,38,25,38,89,74,5,6,255,223,22,26,Jan 14
2020-01-15,148,NA,359,367,42,50,3,7,110,114,35,32,33,69,595,463,27,NA,75,65,135,55,23,22,70,77,3,8,247,312,25,35,Jan 15
2020-01-16,119,NA,398,349,28,38,5,5,118,159,35,67,37,100,609,506,28,NA,57,84,118,34,25,12,79,89,2,7,227,275,33,48,Jan 16
2020-01-17,116,NA,333,368,36,35,4,8,110,101,103,30,33,96,577,448,26,NA,75,109,89,48,23,9,69,57,18,1,136,180,28,35,Jan 17
2020-01-18,71,1,411,323,17,23,3,3,57,88,44,25,23,38,410,402,19,NA,118,180,58,75,18,12,39,53,0,1,83,117,15,29,Jan 18
2020-01-19,59,NA,405,342,20,17,3,6,68,63,23,23,20,46,405,310,26,NA,144,153,76,47,11,6,20,43,0,NA,79,125,27,28,Jan 19
2020-01-20,76,NA,382,300,28,21,7,2,66,42,22,24,26,87,387,314,27,NA,104,102,112,16,19,10,35,72,4,NA,175,132,15,18,Jan 20
2020-01-21,144,NA,366,312,44,54,4,5,94,95,32,43,42,118,525,359,36,NA,56,43,41,15,18,7,53,73,11,19,209,259,23,37,Jan 21
2020-01-22,112,NA,371,333,40,43,4,11,109,115,30,53,36,93,522,407,24,NA,61,52,130,39,32,10,68,88,12,15,195,252,20,28,Jan 22
2020-01-23,131,NA,361,356,33,42,6,9,99,105,35,50,33,90,585,497,22,NA,71,76,93,66,20,18,59,62,14,1,242,227,28,44,Jan 23
2020-01-24,116,NA,360,353,21,33,3,6,109,118,43,42,24,90,504,419,38,NA,75,68,70,42,24,15,84,75,7,8,177,261,27,30,Jan 24
2020-01-25,65,NA,367,357,23,25,2,4,48,56,90,38,11,37,531,372,33,NA,146,172,96,77,17,13,56,51,2,NA,61,163,26,36,Jan 25
2020-01-26,78,NA,416,379,25,20,6,3,63,73,33,37,25,33,533,429,35,NA,220,191,115,124,18,16,41,54,1,NA,180,190,23,37,Jan 26
2020-01-27,118,NA,343,369,33,47,7,8,90,104,29,46,19,105,499,477,21,NA,80,62,77,71,17,19,70,86,4,3,246,319,30,34,Jan 27
2020-01-28,142,NA,329,351,44,50,3,10,94,121,72,58,34,76,631,486,19,NA,45,57,100,42,26,23,71,70,11,8,282,290,15,34,Jan 28
2020-01-29,135,NA,343,417,36,52,2,6,103,83,79,31,31,93,573,415,33,NA,62,47,67,23,34,9,72,68,3,10,284,258,24,28,Jan 29
2020-01-30,175,NA,307,368,48,35,3,2,141,93,44,38,27,99,576,319,21,NA,67,43,63,21,28,12,56,62,4,25,313,202,27,26,Jan 30
2020-01-31,150,NA,335,379,34,38,4,5,120,81,74,47,28,95,658,399,36,NA,83,70,73,36,22,18,60,51,10,15,161,263,24,45,Jan 31
2020-02-01,104,NA,366,406,26,20,3,3,81,58,56,27,26,71,492,336,34,NA,145,142,124,61,25,13,48,32,2,1,117,135,30,35,Feb 01
2020-02-02,81,NA,396,409,12,18,1,3,80,50,32,35,12,35,505,379,31,NA,170,186,162,100,14,11,48,50,5,NA,168,170,25,27,Feb 02
2020-02-03,139,NA,425,368,45,39,10,11,119,105,30,70,35,69,566,462,30,NA,83,101,81,74,22,25,62,97,4,5,315,279,26,61,Feb 03
2020-02-04,132,NA,353,320,49,42,6,5,107,115,101,52,24,90,690,489,14,NA,53,73,136,95,27,30,84,83,11,2,276,293,28,43,Feb 04
2020-02-05,135,NA,297,340,45,44,9,10,123,130,41,43,39,103,637,522,19,NA,56,83,95,117,33,27,66,88,3,3,312,309,21,45,Feb 05
2020-02-06,130,NA,351,338,42,36,8,7,89,106,45,40,38,115,584,450,42,NA,60,58,57,49,24,25,57,73,8,6,255,335,29,39,Feb 06
2020-02-07,150,NA,354,357,43,49,5,6,98,115,32,53,34,91,518,486,25,NA,85,96,41,94,19,22,67,57,3,4,174,262,23,50,Feb 07
2020-02-08,76,1,362,401,18,27,1,4,81,81,66,92,13,43,522,407,46,NA,151,130,90,56,18,12,38,54,0,4,130,135,17,42,Feb 08
2020-02-09,94,NA,376,390,24,24,2,11,61,51,54,38,14,27,466,398,39,NA,191,242,110,84,19,35,45,53,0,1,215,125,16,33,Feb 09
2020-02-10,148,NA,362,362,35,47,3,13,85,132,58,50,30,84,459,449,29,NA,76,94,72,49,26,28,76,148,11,2,264,254,26,51,Feb 10
